LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,Anomaly
1647,-,1131127543,2005.11.04,R62-M0-NC-C:J06-U11,2005-11-04-10.05.43.570607,R62-M0-NC-C:J06-U11,RAS,KERNEL,INFO,16469355 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
1853,-,1133448628,2005.12.01,R42-M0-NA-C:J09-U11,2005-12-01-06.50.28.913616,R42-M0-NA-C:J09-U11,RAS,ANOM_KERNEL,ANOM_INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,ANOM_E7,ANOM_<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,1
675,-,1120935238,2005.07.09,R22-M1-N0-C:J05-U11,2005-07-09-11.53.58.430277,R22-M1-N0-C:J05-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.7167,ANOM_E67,ANOM_generating core.<*>,1
1665,-,1131131501,2005.11.04,R63-M0-N8-C:J03-U11,2005-11-04-11.11.41.412257,R63-M0-N8-C:J03-U11,RAS,ANOM_KERNEL,ANOM_INFO,54004554 floating point alignment exceptions,ANOM_E4,ANOM_<*> floating point alignment exceptions,1
1982,APPSEV,1134631019,2005.12.14,R32-M0-NC-I:J18-U01,2005-12-14-23.16.59.947676,R32-M0-NC-I:J18-U01,RAS,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:50288, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0
1084,-,1122139731,2005.07.23,R01-M1-N8-C:J13-U11,2005-07-23-10.28.51.576312,R01-M1-N8-C:J13-U11,RAS,ANOM_KERNEL,ANOM_INFO,15 floating point alignment exceptions,ANOM_E4,ANOM_<*> floating point alignment exceptions,1
1923,-,1133455643,2005.12.01,R22-M0-N5-C:J06-U11,2005-12-01-08.47.23.541583,R22-M0-N5-C:J06-U11,RAS,KERNEL,INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,0
100,-,1118354070,2005.06.09,R25-M1-N8-C:J05-U11,2005-06-09-14.54.30.103580,R25-M1-N8-C:J05-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.1887,ANOM_E67,ANOM_generating core.<*>,1
1180,-,1122430797,2005.07.26,R35-M1-N7-C:J02-U01,2005-07-26-19.19.57.499754,R35-M1-N7-C:J02-U01,RAS,KERNEL,INFO,generating core.50579,E67,generating core.<*>,0
965,-,1121494314,2005.07.15,R23-M0-NE-C:J16-U11,2005-07-15-23.11.54.188138,R23-M0-NE-C:J16-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.17212,ANOM_E67,ANOM_generating core.<*>,1
793,-,1120969674,2005.07.09,R22-M1-N8-C:J02-U01,2005-07-09-21.27.54.261842,R22-M1-N8-C:J02-U01,RAS,KERNEL,INFO,generating core.20367,E67,generating core.<*>,0
30,-,1117984130,2005.06.05,R37-M1-NE-C:J13-U01,2005-06-05-08.08.50.547117,R37-M1-NE-C:J13-U01,RAS,KERNEL,INFO,generating core.4245,E67,generating core.<*>,0
629,-,1120924519,2005.07.09,R20-M0-NA-C:J12-U01,2005-07-09-08.55.19.014398,R20-M0-NA-C:J12-U01,RAS,ANOM_KERNEL,ANOM_INFO,generating core.14349,ANOM_E67,ANOM_generating core.<*>,1
945,-,1121314248,2005.07.13,R23-M1-N8-C:J09-U11,2005-07-13-21.10.48.693447,R23-M1-N8-C:J09-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.23998,ANOM_E67,ANOM_generating core.<*>,1
573,-,1120447561,2005.07.03,R24-M1-N8-C:J16-U01,2005-07-03-20.26.01.608125,R24-M1-N8-C:J16-U01,RAS,KERNEL,INFO,generating core.19596,E67,generating core.<*>,0
908,-,1121311849,2005.07.13,R22-M1-ND-C:J05-U11,2005-07-13-20.30.49.413470,R22-M1-ND-C:J05-U11,RAS,KERNEL,INFO,generating core.17851,E67,generating core.<*>,0
1081,-,1122139627,2005.07.23,R01-M0-NE-C:J17-U01,2005-07-23-10.27.07.224287,R01-M0-NE-C:J17-U01,RAS,KERNEL,INFO,15 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
451,-,1119807051,2005.06.26,R05-M0-N6-C:J06-U11,2005-06-26-10.30.51.645473,R05-M0-N6-C:J06-U11,RAS,ANOM_KERNEL,ANOM_INFO,exception syndrome register: 0x08000000,ANOM_E61,ANOM_exception syndrome register: <*>,1
1610,-,1131064315,2005.11.03,R27-M1-N2-C:J10-U01,2005-11-03-16.31.55.074652,R27-M1-N2-C:J10-U01,RAS,ANOM_KERNEL,ANOM_INFO,2354412 floating point alignment exceptions,ANOM_E4,ANOM_<*> floating point alignment exceptions,1
1291,-,1125083240,2005.08.26,R61-M0-N8-C:J05-U01,2005-08-26-12.07.20.308532,R61-M0-N8-C:J05-U01,RAS,KERNEL,INFO,1547520 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0
1079,-,1122133483,2005.07.23,R26-M1-N0-C:J05-U11,2005-07-23-08.44.43.722542,R26-M1-N0-C:J05-U11,RAS,KERNEL,INFO,generating core.3455,E67,generating core.<*>,0
255,-,1118770989,2005.06.14,R21-M1-N4-C:J17-U11,2005-06-14-10.43.09.420211,R21-M1-N4-C:J17-U11,RAS,KERNEL,FATAL,data store interrupt caused by icbi.........0,E54,data store interrupt caused by icbi.........<*>,0
125,KERNDTLB,1118543420,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-19.30.20.585330,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,E55,data TLB error interrupt,0
1928,-,1133458296,2005.12.01,R00-M0-NA-C:J14-U11,2005-12-01-09.31.36.346830,R00-M0-NA-C:J14-U11,RAS,ANOM_KERNEL,ANOM_INFO,"720 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",ANOM_E12,"ANOM_<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",1
252,-,1118770646,2005.06.14,R27-M1-N9-C:J11-U11,2005-06-14-10.37.26.925212,R27-M1-N9-C:J11-U11,RAS,KERNEL,FATAL,machine state register: 0x00002000,E85,machine state register: <*>,0
586,-,1120469778,2005.07.04,R25-M1-N1-C:J10-U01,2005-07-04-02.36.18.807780,R25-M1-N1-C:J10-U01,RAS,KERNEL,INFO,generating core.7881,E67,generating core.<*>,0
1569,-,1131059653,2005.11.03,R67-M1-N8-C:J16-U01,2005-11-03-15.14.13.999389,R67-M1-N8-C:J16-U01,RAS,KERNEL,INFO,iar 00106210 dear 0244c23c,E70,iar <*> dear <*>,0
825,-,1121172088,2005.07.12,R37-M1-N6-C:J03-U11,2005-07-12-05.41.28.215496,R37-M1-N6-C:J03-U11,RAS,KERNEL,INFO,generating core.9079,E67,generating core.<*>,0
508,-,1120216290,2005.07.01,R21-M1-NB-C:J07-U01,2005-07-01-04.11.30.534564,R21-M1-NB-C:J07-U01,RAS,KERNEL,INFO,generating core.6698,E67,generating core.<*>,0
890,-,1121309186,2005.07.13,R04-M1-N6-C:J12-U11,2005-07-13-19.46.26.896284,R04-M1-N6-C:J12-U11,RAS,KERNEL,INFO,generating core.3181,E67,generating core.<*>,0
71,-,1118122888,2005.06.06,R25-M1-N8-C:J06-U01,2005-06-06-22.41.28.143013,R25-M1-N8-C:J06-U01,RAS,KERNEL,INFO,generating core.1990,E67,generating core.<*>,0
1609,-,1131064168,2005.11.03,R12-M0-NB-C:J13-U01,2005-11-03-16.29.28.796896,R12-M0-NB-C:J13-U01,RAS,KERNEL,INFO,2354412 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
1533,-,1131057844,2005.11.03,R61-M1-NB-C:J17-U11,2005-11-03-14.44.04.612936,R61-M1-NB-C:J17-U11,RAS,KERNEL,INFO,640404 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
248,-,1118770309,2005.06.14,R20-M1-NB-C:J03-U11,2005-06-14-10.31.49.464584,R20-M1-NB-C:J03-U11,RAS,KERNEL,FATAL,program interrupt: trap instruction.........0,E104,program interrupt: trap instruction.........<*>,0
1451,-,1127265314,2005.09.20,R27-M1-N4-I:J18-U01,2005-09-20-18.15.14.037829,R27-M1-N4-I:J18-U01,RAS,APP,FATAL,ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.05) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory,0
213,KERNSTOR,1118767965,2005.06.14,R24-M1-N6-C:J13-U01,2005-06-14-09.52.45.933587,R24-M1-N6-C:J13-U01,RAS,ANOM_KERNEL,ANOM_FATAL,data storage interrupt,ANOM_E52,ANOM_data storage interrupt,1
910,-,1121311928,2005.07.13,R21-M0-N2-C:J05-U01,2005-07-13-20.32.08.455087,R21-M0-N2-C:J05-U01,RAS,KERNEL,INFO,generating core.26735,E67,generating core.<*>,0
1742,-,1131692641,2005.11.10,R63-M0-N4-C:J04-U11,2005-11-10-23.04.01.480413,R63-M0-N4-C:J04-U11,RAS,KERNEL,INFO,iar 00106448 dear 0246dacc,E70,iar <*> dear <*>,0
1245,-,1123914727,2005.08.12,R55-M1-N0-I:J18-U11,2005-08-12-23.32.07.413454,R55-M1-N0-I:J18-U11,RAS,ANOM_APP,ANOM_FATAL,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",ANOM_E25,"ANOM_ciod: Error loading /<*>: invalid or missing program image, Exec format error",1
1697,-,1131408830,2005.11.07,R63-M0-N9-C:J10-U01,2005-11-07-16.13.50.630658,R63-M0-N9-C:J10-U01,RAS,KERNEL,INFO,iar 00105e84 dear 0244f29c,E70,iar <*> dear <*>,0
1183,-,1122431171,2005.07.26,R16-M0-N6-C:J12-U01,2005-07-26-19.26.11.720872,R16-M0-N6-C:J12-U01,RAS,KERNEL,INFO,generating core.25229,E67,generating core.<*>,0
362,-,1119309833,2005.06.20,R14-M1-N0-I:J18-U01,2005-06-20-16.23.53.944371,R14-M1-N0-I:J18-U01,RAS,ANOM_APP,ANOM_FATAL,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",ANOM_E28,"ANOM_ciod: Error loading <*>: invalid or missing program image, No such file or directory",1
1474,-,1128170317,2005.10.01,R73-M0-N4-I:J18-U11,2005-10-01-05.38.37.246285,R73-M0-N4-I:J18-U11,RAS,APP,FATAL,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied",E26,"ciod: Error loading /<*>: invalid or missing program image, Permission denied",0
679,-,1120935446,2005.07.09,R35-M0-N0-C:J05-U01,2005-07-09-11.57.26.222399,R35-M0-N0-C:J05-U01,RAS,KERNEL,INFO,generating core.14807,E67,generating core.<*>,0
1622,-,1131125543,2005.11.04,R62-M0-N4-C:J12-U11,2005-11-04-09.32.23.060745,R62-M0-N4-C:J12-U11,RAS,KERNEL,INFO,iar 00106834 dear 0245ccfc,E70,iar <*> dear <*>,0
1090,-,1122143251,2005.07.23,R10-M0-N4-C:J05-U11,2005-07-23-11.27.31.167078,R10-M0-N4-C:J05-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.14911,ANOM_E67,ANOM_generating core.<*>,1
1988,-,1135095320,2005.12.20,R45-M0-N4-I:J18-U01,2005-12-20-08.15.20.957109,R45-M0-N4-I:J18-U01,RAS,KERNEL,INFO,ciod: generated 128 core files for program /g/g24/germann2/SPaSM_static/SPaSM_mpi,E34,ciod: generated <*> core files for program <*>,0
1848,-,1133448479,2005.12.01,R64-M0-N2-C:J16-U01,2005-12-01-06.47.59.953454,R64-M0-N2-C:J16-U01,RAS,KERNEL,INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,0
988,-,1121597832,2005.07.17,R36-M1-NB-C:J14-U11,2005-07-17-03.57.12.463575,R36-M1-NB-C:J14-U11,RAS,KERNEL,INFO,generating core.30256,E67,generating core.<*>,0
1513,-,1129820611,2005.10.20,R01-M1-NC-I:J18-U01,2005-10-20-08.03.31.975086,R01-M1-NC-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error",E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error",0
112,KERNDTLB,1118538836,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-18.13.56.287869,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,E55,data TLB error interrupt,0
1488,-,1129166647,2005.10.12,R34-M1-N8-I:J18-U01,2005-10-12-18.24.07.100662,R34-M1-N8-I:J18-U01,RAS,ANOM_APP,ANOM_FATAL,"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/vnm.rts: invalid or missing program image, Permission denied",ANOM_E26,"ANOM_ciod: Error loading /<*>: invalid or missing program image, Permission denied",1
1454,-,1127265731,2005.09.20,R16-M1-N4-I:J18-U11,2005-09-20-18.22.11.721083,R16-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.08) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory,0
384,-,1119625799,2005.06.24,R03-M0-NB-C:J10-U11,2005-06-24-08.09.59.585592,R03-M0-NB-C:J10-U11,RAS,KERNEL,INFO,"CE sym 12, at 0x1b786f60, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>",0
1396,-,1126272208,2005.09.09,R50-M0-NF-C:J10-U01,2005-09-09-06.23.28.274924,R50-M0-NF-C:J10-U01,RAS,ANOM_KERNEL,ANOM_INFO,"1 ddr errors(s) detected and corrected on rank 0, symbol 3, bit 6",ANOM_E2,"ANOM_<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",1
1055,-,1121902859,2005.07.20,R10-M1-N0-C:J09-U11,2005-07-20-16.40.59.622276,R10-M1-N0-C:J09-U11,RAS,KERNEL,INFO,8 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
756,-,1120967983,2005.07.09,R35-M1-N3-C:J04-U11,2005-07-09-20.59.43.240343,R35-M1-N3-C:J04-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.26835,ANOM_E67,ANOM_generating core.<*>,1
325,-,1118846432,2005.06.15,R22-M0-NE-C:J04-U11,2005-06-15-07.40.32.710710,R22-M0-NE-C:J04-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.15,ANOM_E67,ANOM_generating core.<*>,1
1624,-,1131125954,2005.11.04,R62-M0-N2-C:J11-U11,2005-11-04-09.39.14.407511,R62-M0-N2-C:J11-U11,RAS,ANOM_KERNEL,ANOM_INFO,iar 0010682c dear 0245ccfc,ANOM_E70,ANOM_iar <*> dear <*>,1
788,-,1120969436,2005.07.09,R27-M0-N2-C:J03-U11,2005-07-09-21.23.56.916963,R27-M0-N2-C:J03-U11,RAS,KERNEL,INFO,generating core.11135,E67,generating core.<*>,0
369,-,1119377784,2005.06.21,R20-M1-N8-C:J04-U11,2005-06-21-11.16.24.473585,R20-M1-N8-C:J04-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.783,ANOM_E67,ANOM_generating core.<*>,1
1820,-,1133447964,2005.12.01,R34-M0-N8-C:J06-U11,2005-12-01-06.39.24.979006,R34-M0-N8-C:J06-U11,RAS,KERNEL,INFO,"10686 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",0
70,-,1118114656,2005.06.06,R24-M1-N9-C:J15-U01,2005-06-06-20.24.16.345770,R24-M1-N9-C:J15-U01,RAS,KERNEL,INFO,generating core.976,E67,generating core.<*>,0
858,-,1121256179,2005.07.13,R36-M0-N7-C:J04-U11,2005-07-13-05.02.59.701827,R36-M0-N7-C:J04-U11,RAS,ANOM_KERNEL,ANOM_INFO,generating core.691,ANOM_E67,ANOM_generating core.<*>,1
1484,-,1128832742,2005.10.08,R53-M1-NB-C:J13-U01,2005-10-08-21.39.02.618861,R53-M1-NB-C:J13-U01,RAS,ANOM_KERNEL,ANOM_INFO,total of 12 ddr error(s) detected and corrected,ANOM_E118,ANOM_total of <*> ddr error(s) detected and corrected,1
1556,-,1131059142,2005.11.03,R66-M1-N3-C:J06-U11,2005-11-03-15.05.42.754713,R66-M1-N3-C:J06-U11,RAS,KERNEL,INFO,640764 floating point alignment exceptions,E4,<*> floating point alignment exceptions,0
1692,-,1131218683,2005.11.05,R11-M1-N4-C:J03-U01,2005-11-05-11.24.43.382408,R11-M1-N4-C:J03-U01,RAS,ANOM_KERNEL,ANOM_INFO,"2 ddr errors(s) detected and corrected on rank 0, symbol 18, bit 6",ANOM_E2,"ANOM_<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",1
1475,-,1128375498,2005.10.03,R23-M0-N8-C:J15-U11,2005-10-03-14.38.18.573730,R23-M0-N8-C:J15-U11,RAS,KERNEL,INFO,"CE sym 6, at 0x06ec7a20, mask 0x20",E18,"CE sym <*>, at <*>, mask <*>",0
1799,-,1133280774,2005.11.29,R55-M0-N9-C:J06-U11,2005-11-29-08.12.54.614554,R55-M0-N9-C:J06-U11,RAS,KERNEL,INFO,13 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 4562 seconds,E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,0
479,-,1120145688,2005.06.30,R11-M0-N9-C:J03-U11,2005-06-30-08.34.48.113948,R11-M0-N9-C:J03-U11,RAS,KERNEL,INFO,generating core.23659,E67,generating core.<*>,0
282,-,1118771988,2005.06.14,R27-M0-N7-C:J02-U01,2005-06-14-10.59.48.153923,R27-M0-N7-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0,E64,force load/store alignment...............<*>,0
1648,-,1131127560,2005.11.04,R62-M0-N7-C:J05-U11,2005-11-04-10.06.00.288313,R62-M0-N7-C:J05-U11,RAS,KERNEL,INFO,iar 00106390 dear 02f67cfc,E70,iar <*> dear <*>,0
1557,-,1131059158,2005.11.03,R67-M0-N8-C:J02-U01,2005-11-03-15.05.58.736742,R67-M0-N8-C:J02-U01,RAS,ANOM_KERNEL,ANOM_INFO,640404 floating point alignment exceptions,ANOM_E4,ANOM_<*> floating point alignment exceptions,1
1730,-,1131590854,2005.11.09,R63-M0-N6-C:J13-U01,2005-11-09-18.47.34.555338,R63-M0-N6-C:J13-U01,RAS,KERNEL,INFO,iar 00113890 dear 0fee9c3c,E70,iar <*> dear <*>,0
211,KERNSTOR,1118767942,2005.06.14,R25-M0-NB-C:J02-U11,2005-06-14-09.52.22.295234,R25-M0-NB-C:J02-U11,RAS,KERNEL,FATAL,data storage interrupt,E52,data storage interrupt,0
298,-,1118773049,2005.06.14,R20-M1-NF-C:J14-U11,2005-06-14-11.17.29.948847,R20-M1-NF-C:J14-U11,RAS,KERNEL,FATAL,floating pt ex mode 0 enable......0,E63,floating pt ex mode <*> enable......<*>,0
1885,-,1133454886,2005.12.01,R35-M0-N5-C:J16-U01,2005-12-01-08.34.46.559803,R35-M0-N5-C:J16-U01,RAS,ANOM_KERNEL,ANOM_INFO,"10766 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",ANOM_E12,"ANOM_<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",1
1834,-,1133448278,2005.12.01,R52-M0-N1-C:J10-U11,2005-12-01-06.44.38.098317,R52-M0-N1-C:J10-U11,RAS,ANOM_KERNEL,ANOM_INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,ANOM_E7,ANOM_<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,1
652,-,1120932622,2005.07.09,R36-M0-N2-C:J10-U01,2005-07-09-11.10.22.118843,R36-M0-N2-C:J10-U01,RAS,KERNEL,INFO,generating core.5781,E67,generating core.<*>,0
1234,-,1123652286,2005.08.09,R15-M0-NC-C:J04-U11,2005-08-09-22.38.06.850691,R15-M0-NC-C:J04-U11,RAS,KERNEL,INFO,1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,0
1503,-,1129550547,2005.10.17,R02-M0-N4-C:J04-U11,2005-10-17-05.02.27.161242,R02-M0-N4-C:J04-U11,RAS,KERNEL,INFO,data cache search parity error detected. attempting to correct,E51,data cache search parity error detected. attempting to correct,0
1932,-,1133573986,2005.12.02,R66-M0-N1-C:J03-U01,2005-12-02-17.39.46.428006,R66-M0-N1-C:J03-U01,RAS,KERNEL,INFO,"CE sym 15, at 0x06a72120, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>",0
